Booktitle,Suggested Title,book_author,log_value,library,ISBN,Author,Type,Year Published,Weight,Page Count,Subjects,Places
The Screech Owls Murder At Hockey Camp,,Roy McGregor,1,Squirrel Hill,No ISBN Found,,,,,,,
The Screech Owls Northern Adventure,The Screech Owls' Northern Adventure,Roy McGregor,1,Squirrel Hill,771056281,Roy MacGregor,work,1996,,,,
His Wicked Reputation,"The tryal of William Fuller, upon an information for being an impostor, and of ill name and reputation",Madeline Hunter,1,Hill District,No ISBN Found,"Fuller, William",work,1702,,,,
Road To Revolution,Road to revolution,Stan Mack,1,Squirrel Hill,No ISBN Found,Avrahm Yarmolinsky,work,1957,,,,
Two Minute Drill,Two-Minute Drill,Mike Lupica,1,Squirrel Hill,142414425,Mike Lupica,work,2007,,,,
The Orphan Of Ellis Island,The Orphan of Ellis Island,Elvira Woodruff,1,Squirrel Hill,590482459,Elvira Woodruff,work,1997,,,"Ellis Island Immigration Station (N.Y. and N.J.),Emigration and immigration,Fiction,Foster home care,Italian Americans,Juvenile fiction,Time travel",
Indiana Jones And The Spear Of Destiny Volume 14,,Elaine Lee,1,Squirrel Hill,No ISBN Found,,,,,,,
Train Song,Train Songs,Harriet Ziefert,1,Beechview,9786307666132,Train Songs          Cdimge       Pur1395,work,2004,,,,
Diary Of A Wimpy Kid The Ugly Truth,Diary of a Wimpy Kid,Jeff Kinney,1,Squirrel Hill,810984911,Jeff Kinney,work,2007,,,"New York Times bestseller,nyt:series_books=2009-01-10",
Diary Of A Wimpy Kid The Ugly Truth,Diary of a Wimpy Kid,Jeff Kinney,1,Main (Oakland),810984911,Jeff Kinney,work,2007,,,"New York Times bestseller,nyt:series_books=2009-01-10",
Notes From A Liar And Her Dog,Notes from a liar and her dog,gennifer choldenko,1,Main (Oakland),9780399235917,Gennifer Choldenko,work,2001,,,,
Zeus King Of The Gods,Zeus,George O'Connor,1,Squirrel Hill,1596436255,George O'Connor,work,2010,544 grams,80,"graphic novels,greek mythology",
Hera The Goddess And Her Glory,Hera,George O'Conner,1,Squirrel Hill,9781596434332,George O'Connor,work,2011,,,,
Trident Cupcake Academy,,,1,South Side,No ISBN Found,,,,,,,
Golbillicks,,,1,South Side,No ISBN Found,,,,,,,
Chasing Power,Chasing the Flame,Sarah Beth Durest,1,Squirrel Hill,1436210216,Samantha Power,work,2008,,,,
Marvel,The Amazing Spiderman Web Slinging Super Hero,,1,South Side,1601390556,MARVEL,work,2006,,,"Juvenile fiction,Heroes,Spider-Man (Fictitious character),Board books,Fiction",
Vampire Diaries Stefans Diaries The Asylum,,L. J. Smith,1,Brookline,No ISBN Found,,,,,,,
Uninvited,Uninvited,Amanda Marrone,1,Brookline,9780434002764,James Gabriel Berman,work,1995,,,,
Feeding Time At The Zoo,Feeding Time at the Zoo,Sherry shahan,1,East Liberty,375800670,Sherry Shahan,work,2000,,24,,
Clifford Takes A Trip,Clifford Takes a Trip,Norman bridwell,1,East Liberty,9780590335546,Norman Bridwell,work,1966,,,,
Clifford Takes A Trip,Clifford Takes a Trip,Norman Bridwell,1,Main (Oakland),9780590335546,Norman Bridwell,work,1966,,,,
Clifford Takes A Trip,Clifford Takes a Trip,,1,Carrick,9780590335546,Norman Bridwell,work,1966,,,,
Danger In The Darkest Hour,,Mary pope osborne,1,Lawrenceville,No ISBN Found,,,,,,,
Mission Hill,Mission Hill,Pamela Wechsler,1,Mt. Washington,No ISBN Found,Sari Roboff,work,1976,,,,
Youre Better Than Me,Hit me with your best shot,Bonnie McFarlane,1,Woods Run,312169914,Jackie Kallen,work,1997,,,,
Mirror Me,The mirror,Julie Aigner-Clark,1,Brookline,No ISBN Found,"Bates College (Lewiston, Me.)",work,,,,,
Mirror Me,The mirror,Julie Aigner-Clark,1,Main (Oakland),No ISBN Found,"Bates College (Lewiston, Me.)",work,,,,,
Virgin Soil,Virgin soil,Ivan Turgenev,1,Main (Oakland),No ISBN Found,"Hoare, Mary Regis sister.",work,1942,,,,
Little Quacks Abcs,Little Quacks ABC,Lauren Thompson,1,Brookline,9780545495288,Lauren Thompson,work,2013,,,,
5 Minute Princess Stories  Tangled,,Disney Enterprises,1,Brookline,No ISBN Found,,,,,,,
Black Butler 2,"Black Butler, Vol. 2",Yana Toboso,1,Main (Oakland),316084255,Yana Toboso,work,2010,,,,
Forever Liesl,Forever Liesl,Charmaine Carr,1,Allegheny,9780786225583,Charmian Carr,work,2000,,,,
5 Minute Princess Stories  Cinderella,Disney 5-minute princess stories,E.C. Llopis and Elle D. Risco,1,Brookline,786833009,Liza Baker,work,2001,,48,"Fiction,Princesses,Short stories,Children's stories, American,Fairy tales,Bedtime",
5 Minute Princess Stories  Aladdin,Disney 5-minute princess stories,Disney Enterprises,1,Brookline,786833009,Liza Baker,work,2001,,48,"Fiction,Princesses,Short stories,Children's stories, American,Fairy tales,Bedtime",
Hippos Go Berserk,Hippos Go Berserk,Sandra Boynton,5,Hazelwood,9780749702434,Sandra Boynton,work,1979,,,,
Star Wars Finn And The First Order,,Elizabeth Schaefer,1,Main (Oakland),No ISBN Found,,,,,,,
Panda Gets A Surprise,,Gina Shaw,1,East Liberty,No ISBN Found,,,,,,,
Dont Throw That Away,Don't throw away that food,Lara Bergen,2,Main (Oakland),No ISBN Found,,work,1998,,,,
Burning,Al llegar la noche,Danielle Rollins,1,,8447364569,Jezz Burning,work,2006,,,,
Dinobaseball,Dino-baseball,Lisa Wheeler,2,Main (Oakland),761344292,Lisa Wheeler,work,2010,,,,
The Princess And The Pea,Princess and the Pea,John Cech,1,East Liberty,582541166,Hans Christian Andersen,work,1985,,,,
The Princess And The Pea,Princess and the Pea,Rachel Isadora,1,Brookline,582541166,Hans Christian Andersen,work,1985,,,,
Ps I Still Love You,,Jenny Han,1,,No ISBN Found,,,,,,,
Living Your Yoga Finding The Spiritual In Everyday Life,Living your yoga,Judith Hanson Lasater,1,Squirrel Hill,9780962713880,Judith Lasater,work,2000,,,,
The Ugly Duckling,Taste the Secret,Hans Christian Andersen,1,East Liberty,6308713333,Ugly Duckling        Cdrd          317065,work,2004,,,,
The Gingerbread Boy,Gingerbread Boy,Paul Galdone,1,East Liberty,9780606199759,Richard Egielski,work,1997,12.6 ounces,,"Fairy tales,Folklore",
The City Mouse And The Country Mouse,City Mouse Country Mouse,Violet Findley,1,East Liberty,9780590732819,John Wallner,work,1987,,,,
Here Comes The Bride,"""Here comes the bride--,""",Mary Daheim,1,Main (Oakland),No ISBN Found,Irvin S. Cobb,work,1925,,,,
Tricky,All I Hear Is Words,Janet Evanovich,1,Main (Oakland),862419409,Tricky,work,,,,,
Pinky Dinky Doo Shrinky Pinky,Shrinky Pinky (Pinky Dinky Doo,jim jinkins,1,East Liberty,606345523,Jim Jinkins,work,2005,,,,
Pinky Dinky Doo Shrinky Pinky,Shrinky Pinky (Pinky Dinky Doo,,1,Knoxville,606345523,Jim Jinkins,work,2005,,,,
Fancy Nancy My Family Histoy,,jane o'conner,1,East Liberty,No ISBN Found,,,,,,,
Meet Boulder The Constructionbot Level I Passport To Reading,,Annie Auerbach,1,Main (Oakland),No ISBN Found,,,,,,,
Anansi The Spider  A Tale From The Ashanti,Anansi the Spider,Gerald McDermott,1,East Liberty,1560080469,Gerald McDermott,work,1972,,,,
Anansi The Spider  A Tale From The Ashanti,Anansi the Spider,Gerald McDermott,1,East Liberty,1560080469,Gerald McDermott,work,1972,,,,
Anansi The Spider  A Tale From The Ashanti,Anansi the Spider,Gerald McDermott,1,Main (Oakland),1560080469,Gerald McDermott,work,1972,,,,
Interrupting Chicken,Interrupting chicken,David Ezra Stein,1,East Liberty,9780763641689,David Ezra Stein,work,2010,,,"Fiction,Humorous stories,Storytelling,Chickens,Chickens in fiction,Fathers and daughters,Bedtime in fiction,Fathers and daughters in fiction,Bedtime,Storytelling in fiction",
Interrupting Chicken,Interrupting chicken,David Ezra Stein,1,Beechview,9780763641689,David Ezra Stein,work,2010,,,"Fiction,Humorous stories,Storytelling,Chickens,Chickens in fiction,Fathers and daughters,Bedtime in fiction,Fathers and daughters in fiction,Bedtime,Storytelling in fiction",
Calvin Coolidge,Calvin Coolidge,Paul Joseph,1,East Liberty,945707231,Donald R. McCoy,work,1967,,,,
Juneteenth For Mazie,,Floyd Cooper,1,East Liberty,No ISBN Found,,,,,,,
Juneteenth For Mazie,,Floyd Cooper,1,East Liberty,No ISBN Found,,,,,,,
Strange Mr Satie,Strange Mr. Satie,M. T. Anderson,1,Main (Oakland),9780670036370,M. T Anderson,work,2003,,,,
The Berenstain Bears Down On The Farm,The Berenstain Bears,stan and jan berestain,1,East Liberty,545470161,"Stan Berenstain, Jan Berenstain",work,2006,,,,
The Berenstain Bears Family Reunion,The Berenstain Bears' family reunion,stan and jan berestain,1,East Liberty,9780060583606,Stan Berenstain,work,2009,,,"Fiction,Bears,Parties in fiction,Family reunions,Stories in rhyme,Parties,Family reunions in fiction,Bears in fiction,Protected DAISY",
Power Rangers Megaforce Alien Attack,,Ace Landers,1,Main (Oakland),No ISBN Found,,,,,,,
Frank Einstein And The Antimatter Motor,Frank Einstein and the Antimatter Motor,Jon Scieszka,1,Hazelwood,1419715062,Jon Scieszka,work,2014,,,,
Transformers Rescue Bots Dangerous Rescue,,Brandon T. Snider (adapted by),1,Main (Oakland),No ISBN Found,,,,,,,
The Bunny Rabbit Show,The Bionic Bunny show,Sandra Boynton,1,Squirrel Hill,9780808537625,Marc Tolon Brown,work,1984,10.7 ounces,,"Fiction,Television,Rabbits,Children's stories, American",
The Bunny Rabbit Show,The Bionic Bunny show,,1,Brookline,9780808537625,Marc Tolon Brown,work,1984,10.7 ounces,,"Fiction,Television,Rabbits,Children's stories, American",
The Best Military And Adventure Fiction 2015,,,1,Squirrel Hill,No ISBN Found,,,,,,,
Bizz  Buzz Make Honey Buns,,Dee Leone,1,Main (Oakland),No ISBN Found,,,,,,,
Trail Head,Hay Head nature trail.,Lisa Jhung,1,Main (Oakland),No ISBN Found,,work,1970,,,,
Stokers Manuscript,Bram stoker's notes for Dracula,Royce Prouty,1,Downtown & Business,9780786434107,Bram Stoker,work,2008,,,,
When Women Were Birds,When women were birds,Terry Tempest Williams,1,Brookline,374288976,Terry Tempest Williams,work,2012,,,,
Second Opinion,Second Opinion,Michael Palmer,1,Allegheny,745165397,Claire Rayner,work,1995,,,,
Song Yet Sung,Song yet sung,James McBride,1,Homewood,9781429599467,"McBride, James",work,2008,,,"Fiction,Visions,African American women,Fugitive slaves,Large type books,OverDrive,Literature",Maryland
See You At Harrys,See you at Harry's,,1,Squirrel Hill,9780763654078,Johanna Knowles,work,2012,,,"Grief,Homosexuality,Brothers and sisters,Restaurants,Family problems,Fiction",
Ocdaniel,,Wesley King,1,Squirrel Hill,No ISBN Found,,,,,,,
White Walls,"Arkansas Confederate pension applications from Jackson, Lonoke, Prairie, White, and Woodruff counties",Tatyana Tolstaya,1,Main (Oakland),9780941765633,Desmond Walls Allen,work,1991,,,,
Snug Housebbug House,,Susan Schade and Jon Buller,1,Main (Oakland),No ISBN Found,,,,,,,
Pete The Cat Scubacat,,James Dean,1,Main (Oakland),No ISBN Found,,,,,,,
Who Needs A Bath,,Jeff Mack,1,Main (Oakland),No ISBN Found,,,,,,,
The Night Before,Hh-Night Bef Xmas ST,Lisa Jackson,1,Carrick,9780394885278,Night Before Xmas-Hh1987,work,1987,,,,
Scary Close Dropping The Act And Finding True Intimacy,,Donald Miller,1,Main (Oakland),No ISBN Found,,,,,,,
50 Children One Ordinary American Couples Extraordinary Rescue Mission Into The Heart Of Nazi Germany,50 Children: One Ordinary American Couple's Extraordinary Rescue Mission Into the Heart of Nazi Germany,Steven Pressman,1,Downtown & Business,62237497,Steven Pressman,work,2014,,,,
If Your Reading This Its Too Late,"If you're reading this, it's too late",Oh ok,1,Squirrel Hill,9780316041034,Pseudonymous Bosch,work,2008,,,"Adventure and adventurers,Fiction,Immortality,Juvenile Fiction,Magic tricks,OverDrive,Adventure stories,Juvenile fiction,Protected DAISY",
Winter,Postbook,Marissa Meyer,1,Main (Oakland),9780745946092,WINTER,work,,,,,
Winter,Postbook,Marrisa Meyer,2,Squirrel Hill,9780745946092,WINTER,work,,,,,
Bait,Federico Tavan,Karen Robards,1,Woods Run,No ISBN Found,Maurizio Bait,work,1999,,,,
Lost Among The Living,The Offaly war dead,Simone St. James,1,Woods Run,9781845889746,Tom Burnell,work,2010,,302,"World War, 1914-1918,Irish Participation,Registers of dead,Casualties,Dictionaries,Biography","Offaly (Ireland : County),Ireland,Offaly"
Lost Among The Living,The Offaly war dead,,1,Carrick,9781845889746,Tom Burnell,work,2010,,302,"World War, 1914-1918,Irish Participation,Registers of dead,Casualties,Dictionaries,Biography","Offaly (Ireland : County),Ireland,Offaly"
Eloise At The Wedding,Eloise at the wedding,Margaret McNamara,1,South Side,689874499,Margaret McNamara,work,2005,,,"Fiction,Plaza Hotel (New York, N.Y.),Hotels, motels,Humorous stories,Weddings",New York (N.Y.)
Eloise At The Wedding,Eloise at the wedding,Kay Thompson's,1,West End,689874499,Margaret McNamara,work,2005,,,"Fiction,Plaza Hotel (New York, N.Y.),Hotels, motels,Humorous stories,Weddings",New York (N.Y.)
Eloise At The Wedding,Eloise at the wedding,Hilary Knight,1,Hill District,689874499,Margaret McNamara,work,2005,,,"Fiction,Plaza Hotel (New York, N.Y.),Hotels, motels,Humorous stories,Weddings",New York (N.Y.)
A Train Story,True Stories of Crime from the District Attorney's Office,Dolores Mosser,3,Squirrel Hill,9781406810714,Arthur Train,work,2005,,,,
The Rhino Who Swallowed A Storm,,LeVar Burton,1,Squirrel Hill,No ISBN Found,,,,,,,
Tombquest  Book Of The Dead,Book of the Dead,Michael Northrop,1,Main (Oakland),1743629249,Michael Northrop,work,2015,,,,
National Geographic Kids Volcanoes,National Geographic Kids Readers: Volcanoes,Anne Schreiber,1,Squirrel Hill,545112761,Anne Schreiber,work,2010,,,,
Tombquest  Amulet Keepers,,Michael Northrop,1,Main (Oakland),No ISBN Found,,,,,,,
Tombquest  Valley Of Kings,,Michael Northrop,1,Main (Oakland),No ISBN Found,,,,,,,
Under The Rainbow,Under the Rainbow,Patricia Murphy,1,Squirrel Hill,9780786718535,John Carlyle,work,2006,,,,
Tombquest  The Stone Warriors,,Michael Northrop,1,Main (Oakland),No ISBN Found,,,,,,,
What Grandmas Cant Do,,Douglas Wood,1,Squirrel Hill,No ISBN Found,,,,,,,
Tombquest  The Final Kingdom,,Michael Northrop,1,Main (Oakland),No ISBN Found,,,,,,,
The Sword Of Summer,The sword of Summer,Rick Riordan,1,Main (Oakland),1423160916,Rick Riordan,work,2015,,512,"American Literature,Children's Literature,Young Adult Literature,Novel,Fiction,2015,Norse Mithology,Myths,Action,Adventure,Fantasy,Magic",Boston
Pax,THE BLACK H,Sara Pennypacker,1,Main (Oakland),1591139996,PAX,work,2006,,,,
Pax,THE BLACK H,Sara Pennypacker,1,East Liberty,1591139996,PAX,work,2006,,,,
The Greatest Potatoes,"Greatest Potatoes, The",Penelope Stowell,1,Squirrel Hill,786851139,Penelope Stowell,work,2005,,,"Fiction,Potato chips,Restaurants",
The Greatest Potatoes,"Greatest Potatoes, The",Penelope Stowell,1,Squirrel Hill,786851139,Penelope Stowell,work,2005,,,"Fiction,Potato chips,Restaurants",
The Berenstain Bears Clean House,The Berenstain Bears clean house,Stan & Jan Berenstain,1,Squirrel Hill,9780060583347,Stan Berenstain,work,2005,,,,
Tallulahs Tutu,Tallulah's tutu,Marilyn Singer,1,Squirrel Hill,547173539,Marilyn Singer,work,2011,,,,
Tallulahs Tutu,Tallulah's tutu,Marilyn Singer,1,Squirrel Hill,547173539,Marilyn Singer,work,2011,,,,
People Of Darkness,People of darkness,Tony Hillerman,1,Main (Oakland),747402272,Tony Hillerman,work,1980,,202,"Fiction,Navajo Indians,Police,Jim Chee (Fictitious character),Detective and mystery stories,OverDrive,Mystery,Protected DAISY,Popular Print Disabled Books",Southwestern States
People Of Darkness,People of darkness,Tony Hillerman,1,Carrick,747402272,Tony Hillerman,work,1980,,202,"Fiction,Navajo Indians,Police,Jim Chee (Fictitious character),Detective and mystery stories,OverDrive,Mystery,Protected DAISY,Popular Print Disabled Books",Southwestern States
Death Seen,Remains to be seen,Victoria Laurie,1,Sheraden,473189275,Jared Davidson,work,2011,,,,
Death Perception,Death perception,Victoria Laurie,1,Sheraden,451224868,Victoria Laurie,work,2008,,324,"Fiction,Kidnapping,Psychics,Protected DAISY",
It Must Be Your Love,I Believe in Love,,1,Mt. Washington,9781928832287,Jean Du Coeur De Jesus D' Elbee,work,2001,,280,"Spiritual life,Catholic Church,Accessible book,Protected DAISY",
Die For You,El ingenioso hidalgo Don Quijote de la Mancha,,1,Mt. Washington,8423942767,Miguel de Cervantes Saavedra,work,1600,,,"Fiction,Knights and knighthood,Don Quixote (Fictitious character),Social life and customs,Ficción,Quotations,Literatura picaresca,Caballeros y caballería,Relatos de aventura,Vida social y costumbres,Spanish Proverbs,Real Academia Española,,History and criticism,España,Readers,Spanish fiction,Illustrations,Chivalry,Textbooks for foreign speakers,Translations into English,Criticism and interpretation,Spanish language,Dulcinea,Early works to 1800,Dictionaries,Characters,Dulcinea (Fictitious character),Biography,Accessible book,Protected DAISY,Spanish Adventure fiction,Squires,Quests,History,Spanish literature,In library,Popular Print Disabled Books","Spain,España"
Heartbroken,Heartbroken,,1,Mt. Washington,9781410451026,Lisa Unger,work,2012,,,"Large type books,Women,Fiction","New York (State),Adirondack Mountains Region"
Haunted Destiny,What if-- your past came back to haunt you,Heather Graham,1,Mt. Washington,385736436,Liz Ruckdeschel,work,2008,,,,
Death At Breakfast,Death at breakfast,,1,Mt. Washington,9780002311946,John Rhode,work,1936,,,,
Death At Breakfast,Death at breakfast,Beth Gutcheo,1,Carrick,9780002311946,John Rhode,work,1936,,,,
Black Out,Counting out,,1,Mt. Washington,No ISBN Found,Leda Black,work,1990,,,,
Beautiful Lies,Beautiful lies,,1,Mt. Washington,9780307336828,Lisa Unger,work,2006,,,,
On My Own Two Feet,On my own two feet,Beverly Cleary,1,Lawrenceville,1605508225,Manisha Thakor,work,2007,,,,
Sliver Of Truth,Sliver of Truth,,1,Mt. Washington,9780739341834,Lisa Unger,work,2007,4.8 ounces,,"Fiction,Women journalists,OverDrive,Thriller","East Village (New York, N.Y.)"
Then There Were Five,Then there were five,Elizabeth Enright,1,Brookline,140383972,Elizabeth Enright,work,1944,,241,"Adoption,Brothers and sisters,Country life,Fiction,Juvenile fiction,Orphans",
Saga 5,"Sagajō Honmaru Rekishikan 5-nenkan no ayumi, H16-H20 =",Brian K. Vaughan,1,Allegheny,No ISBN Found,Saga Kenritsu Sagajō Honmaru Rekishikan,work,2009,,,,
Saga 6,Saga of the Sixth,Brian K. Vaughan,1,Allegheny,No ISBN Found,United States. Navy. 6th Construction Battalion.,work,1940,,,,
Saga 7,Kekka shirabe,Brian K. Vaughan,1,Allegheny,No ISBN Found,Saga-ken Senkyo Kanri Iinkai,work,2010,,,,
Saga 8,"Excel Saga, Volume 8",Brian K. Vaughan,1,Allegheny,1591162335,Rikdo Koshi,work,2004,,,,
A Girl From Yamhill,A girl from Yamhill,Beverly Cleary,1,Lawrenceville,9780812476347,Beverly Cleary,work,1988,,,"American Authors,Authors, American,Biography,Biography & Autobiography,Childhood and youth,Juvenile Nonfiction,Juvenile literature,Nonfiction,OverDrive,Social life and customs,Youth,Accessible book,Protected DAISY,In library",Oregon
Archie 75 Years,,,1,East Liberty,No ISBN Found,,,,,,,
Shapes,Make Shapes 3 Mathematical Models To Cut Out Glue And Decorate Decorate,Richard Scarry,1,Squirrel Hill,No ISBN Found,Shapes Make,work,1978,,,,
Shapes,Make Shapes 3 Mathematical Models To Cut Out Glue And Decorate Decorate,,1,Knoxville,No ISBN Found,Shapes Make,work,1978,,,,
An Irish Doctor In Peace And War,,Patrick Taylor,1,Lawrenceville,No ISBN Found,,,,,,,
The Ousiders,,S.E. Hinton,1,East Liberty,No ISBN Found,,,,,,,
The Magic Strings Of Frankie Presto,,Mitch Albom,1,Sheraden,No ISBN Found,,,,,,,
The Magic Strings Of Frankie Presto,,Mitch Albom,1,Downtown & Business,No ISBN Found,,,,,,,
Health Revelations From Heaven And Earth,,Dr. Steven Sinatrand Tommy Rosa,2,Sheraden,No ISBN Found,,,,,,,
A To Z,Hanako jiten,Sandra Boynton,1,Squirrel Hill,4384021798,A to Z Nettowāku.,work,1991,,209,"Women,Social conditions,Psychology",Japan
Law  Order The Unofficial Companion,Law & order: the unofficial companion,Kevin Courrier & Susan Green,1,Library for the Blind and Physically Handicapped,1580631088,Kevin Courrier,work,2000,,368,Law & order (Television program),
Faceoff Top 10 Lists Of Everything In Hockey,,The Editors of Sports Illustrated Kids,1,Allegheny,No ISBN Found,,,,,,,
Blind Side,Blind side,Catherine Coulter,1,Downtown & Business,034051342X,William Bayer,work,1990,,,,
Eleventh Hour,Eleventh Hour,Catherine Hour,1,Downtown & Business,9780375431715,Catherine Coulter,work,2002,,,,
Eleventh Hour,Eleventh Hour,,1,East Liberty,9780375431715,Catherine Coulter,work,2002,,,,
Wheres The Cat,Where's the cat?,Harriet Ziefert and Arnold Lobel,1,Squirrel Hill,9781841484914,Stella Blackstone,work,1996,,,,
Roads To Infinity,The road to infinity,John Stillwell,1,Squirrel Hill,863326838,S. A. Knight,work,1992,,,,
The Great Trouble A Mystery Of London The Blue Death And A Boy Called Eel,,Deborah Hopkinson,1,East Liberty,No ISBN Found,,,,,,,
The Midwifes Apprentice,The Midwife's Apprentice,Karen Cushman,1,East Liberty,1583031103,Pathways Publishing,work,1998,,,,
The Midwifes Apprentice,The Midwife's Apprentice,Karen Cushman,1,Main (Oakland),1583031103,Pathways Publishing,work,1998,,,,
The Tower Of London,Authorised guide to the Tower of London,,1,East Liberty,No ISBN Found,Tower of London.,work,1894,,,,
London,"Laws, etc",,1,East Liberty,9780118017565,Rand McNally,work,1691,,,"Cattle,Commercial law,Consumer credit,Consumer protection,Delegated legislation,Diseases,Domestic relations,Drill and minor tactics,Early works to 1800,Economic aspects of World War, 1914-1918,Educational law and legislation,Finance,Government securities,Great Britain,Gt. Brit,Income tax,Indexes,Law,Law and legislation,Law, Anglo-Saxon,Laws, statutes,Legislation,Life Insurance,Local government,Military law,Militia,Old age pensions,Patent laws and legislation,Periodicals,Postal service,Prevention,Public health laws,Rent,Social security,Statutes,Taxation,Trade regulation,Veterinary Quarantine,Weights and measures,World War, 1914-1918,Corporation law,Food law and legislation,Food supply,Universities and colleges,Food conservation,War and emergency legislation,National University of Ireland,Irish universities act, 1908,German,Glossaries, vocabularies,Dictionaries,English language","England,Great Britain,Gt. Brit,Scotland,Statutes"
Sex Object,Sex objects,Jessica Valenti,1,Downtown & Business,9780891690160,Eric Kroll,work,1977,,,,
The Swiss Family Robinson,The Swiss Family Robinson,Johann Wyss,1,East Liberty,9781414298719,Johann David Wyss,work,2004,1 pounds,320,Adventure,
Dr Jekyl And Mr Hyde,Dr. Jekyll and Mr. Hyde,,1,East Liberty,886909961,Robert Louis Stevenson,work,1875,,,"Accessible book,Classic Literature,Conduct of life,Conduct of life in fiction,England in fiction,Fiction,History and criticism,Horror,Horror fiction,Horror stories,Horror tales,Juvenile fiction,London (England),Multiple personality,Multiple personality in fiction,Mystery and detective stories,OverDrive,Physicians,Physicians in fiction,Science Fiction & Fantasy,Scottish Horror tales,Self-experimentation in medicine,Self-experimentation in medicine in fiction,Social conditions,Supernatural,Supernatural in fiction,Protected DAISY,In library,English fiction","Edinburgh,Scotland"
Prisoner B3087,Prisoner B-3087,Alan Gratz,1,Woods Run,054545901X,Alan Gratz,work,2013,,,,
Prisoner B3087,Prisoner B-3087,Alan Gratz,1,Woods Run,054545901X,Alan Gratz,work,2013,,,,
Wind In The Door,A wind in the door,Madeline L'Engle,1,Woods Run,807206946,Madeleine L'Engle,work,1973,5.8 ounces,,"Science fiction,Juvenile literature,Brothers and sisters,Fantasy,Sick,Fiction,Protected DAISY,In library",
Catch Me,"Catch Me, Catch Me",Lisa Gardner,1,Woods Run,9780780788077,Reverend W. Awdry,work,1998,,,,
Catch Me,"Catch Me, Catch Me",Lisa Garnder,1,Carrick,9780780788077,Reverend W. Awdry,work,1998,,,,
Catch Me,"Catch Me, Catch Me",lisa gardner,1,Carrick,9780780788077,Reverend W. Awdry,work,1998,,,,
Catch Me,"Catch Me, Catch Me",Lisa Gardner,1,Carrick,9780780788077,Reverend W. Awdry,work,1998,,,,
Catch Me,"Catch Me, Catch Me",Lisa Gardner,1,East Liberty,9780780788077,Reverend W. Awdry,work,1998,,,,
Bring A Duck,,Leslie Gibbes,1,Beechview,No ISBN Found,,,,,,,
Random,Evening with Kitten,Lark O'Neal,1,Lawrenceville,5552429273,Random,work,1994,,,,
All The Little Fathers,All the little live things,Margaret Wise Brown,1,Beechview,803241100,Wallace Stegner,work,1967,,,,
Babys First Farm,My Farm (Baby's Very First Book),,1,Squirrel Hill,333659988,Rod Campbell,work,1998,3.5 ounces,6,,
Babys First Farm,My Farm (Baby's Very First Book),,1,Downtown & Business,333659988,Rod Campbell,work,1998,3.5 ounces,6,,
Summer At Beach Street Bakery,,Jenny colgan,1,Mt. Washington,No ISBN Found,,,,,,,
Beach Street Bakery,,Jenny colgan,1,Mt. Washington,No ISBN Found,,,,,,,
Meet Me At The Cupcake Cafe,,Jenny colgan,1,Mt. Washington,No ISBN Found,,,,,,,
Sweetshop Of Dreams,,Jenny colgan,1,Mt. Washington,No ISBN Found,,,,,,,
Winter Stroll,"Winter Walks and Summer Strolls I. A Guide to Lowland Trails in Whatcom, Skagit, San Juan, and Island Counties",Elin hilderbrand,1,Mt. Washington,9780913140215,,work,1977,,,,
Life And Times Of Michael K,Life & times of Michael K,J M Coetzee,1,Main (Oakland),606299998,"John Maxwell Coetzee,J. M. Coetzee",work,1983,7.2 ounces,184,"Fiction,Gardeners,Fasting,Insurgency,South Africa,Psychological aspects of Fasting,Man Booker Prize Winner,award:man_booker_prize=1983,In library,Protected DAISY",South Africa
Secret Of The Ninja,Ninja,,1,South Side,1853141178,Stephen R. Turnbull,work,1991,,160,"Ninjutsu,History,Espionage",Japan
The Abominable Snowman,The abominable snowman,R. A. Montgomery,1,South Side,942545028,R. A. Montgomery,work,1982,,116,"Yeti,Juvenile fiction,Fiction,Plot-your-own stories,Large type books,Mountaineering",Himalaya Mountains
The Abominable Snowman,The abominable snowman,,1,Beechview,942545028,R. A. Montgomery,work,1982,,116,"Yeti,Juvenile fiction,Fiction,Plot-your-own stories,Large type books,Mountaineering",Himalaya Mountains
Duck At The Door,Duck at the Door,Jackie Urbanovic,1,South Side,9780061214387,Jackie Urbanovic,work,2007,,32,"Fiction,Winter,Juvenile fiction,Ducks,Animals",
Duck At The Door,Duck at the Door,Jackie Urbanovic,1,Main (Oakland),9780061214387,Jackie Urbanovic,work,2007,,32,"Fiction,Winter,Juvenile fiction,Ducks,Animals",
Duck At The Door,Duck at the Door,Jackie Urbanovic,1,Main (Oakland),9780061214387,Jackie Urbanovic,work,2007,,32,"Fiction,Winter,Juvenile fiction,Ducks,Animals",
Bear And Bee,Bear and Bee,Sergio Ruzzier,1,South Side,1423159578,Sergio Ruzzier,work,2013,,,,
Troubling A Star,Troubled star,Madeleine L' Engle,1,East Liberty,No ISBN Found,John August,work,1939,,,,
Curious George Builds An Igloo,,,1,South Side,No ISBN Found,,,,,,,
Como El Grinch Robo La Navidad,Como El Grinch robo La Navidad!,Dr. Seuss,1,Main (Oakland),1880507730,Dr. Seuss,work,2000,,56,"Christmas,Cuentos en rima,Ficción,Fiction,Latin language materials,Navidad,Spanish language materials,Stories in rhyme",
