book_title,book_author,log_value,library
No Title Logged,,4,Woods Run
No Title Logged,,4,Carrick
The Naked Sun,isaac Asimov,1,Squirrel Hill
Can I Play Too?,Mo Willems,1,Carrick
Just Enough and Not Too Much,Kaethe Zemach,1,Squirrel Hill
Way Far Away on a Wild Safari,Jan Peck,2,Squirrel Hill
No Title Logged,,1,Main (Oakland)
No Title Logged,,3,Squirrel Hill
blanche hates the night,,1,Main (Oakland)
My Bus - Byron Barton,,2,Lawrenceville
A Conspiracy of Faith ,Jussi Adler-Olsen,1,Beechview
Pretty Salma: A Little Red Riding Hood Story from Africa,Niki Daly,1,East Liberty
Blasphemy,Douglas Preston,1,Beechview
Mr. Tall,Roger Hargreaves,1,Squirrel Hill
pete the cat pet's big lunch,,1,Brookline
No Title Logged,,3,Main (Oakland)
Llama Llama and the Bully Goat,Anna Dewdney,10,Squirrel Hill
One More Dino On the Floor,Kelly Starling Lyons,1,Hill District
"The Witches: Salem, 1692",Stacy Schiff,1,Lawrenceville
dora mermaid treasure hunt,,1,Brookline
No Title Logged,,3,Squirrel Hill
JEWELS FOR A PRINCESS,,1,Carrick
Cats of Ben Yahuds Street,,1,East Liberty
"Come On, Rain",Karen Hesse,1,Allegheny
No Title Logged,,1,Homewood
the berenstain bears down on the farm,stan and jan berestain,1,East Liberty
Moondog,Alice Hoffman,1,Squirrel Hill
Robert B. Parker's Slow Burn,Ace Atkins,1,Carrick
I Got the Rhythm,Connie  Schofield-Morrison,1,Hill District
If You Give a Dog a Donut,Laura Numeroff,1,South Side
"Blue Hat, Green Hat",Sandra Boynton,1,Squirrel Hill
balto of the blue dawn,mary pope obsborne,1,Woods Run
Little  miss  trouble,Roger Hargreaves,1,Squirrel Hill
Kurochka Ryaba,Folk tale,1,Squirrel Hill
Mission Orion,,1,Brookline
The Princess and the Pony,Kate Beaton,1,Brookline
5 to 1: a novel,Holly Bodger,1,West End
Poached,Stuart Gibbs,1,Woods Run
Care Bears: Who's Who,,1,Main (Oakland)
The Dalwich Desecration,Gregory Harris,1,Main (Oakland)
No Title Logged,,1,Main (Oakland)
Singular Intimacies,Danielle Ofri,1,Squirrel Hill
From Head to Toe,Eric Carle,1,Hill District
No Title Logged,,5,Brookline
Press Here,Henre Tullet,2,Squirrel Hill
No Title Logged,,2,Squirrel Hill
Our Time in the Mountains,,1,Main (Oakland)
Repka,Folk tale,1,Squirrel Hill
Harry Potter and the Order of the Phoenix,J.K. Rowling,1,Squirrel Hill
coll robots,,1,Main (Oakland)
Cleo's Color Book,,1,Beechview
"Brown Bear, Brown Bear, what do you see?",Bill Martin,1,South Side
poppelton and friends,,1,East Liberty
The Doll People,Ann M. Martin,1,South Side
Dog Dreams,,1,Squirrel Hill
No Title Logged,,3,Squirrel Hill
Monkeys and the Universe,,1,Beechview
No Title Logged,,8,Squirrel Hill
No Title Logged,,6,Squirrel Hill
The Ville Rat,Martin Limon,1,Main (Oakland)
Sweetbitter,Stephanie Danler,1,Downtown & Business
Marilyn's Monster,Michelle Knudsen,1,Main (Oakland)
No Title Logged,,1,
Fun in the Sun,Bobby Lynn Maslen,1,East Liberty
No Title Logged,,6,Squirrel Hill
No Title Logged,,3,Woods Run
Adventure time Marceline and the scream queens,,1,Main (Oakland)
whatever after,"Mlynowski, Sarah",1,Main (Oakland)
Bloom's Discovery,"Winx Club, Nickelodeon",1,Main (Oakland)
Orchid,Jayne Castle,1,Main (Oakland)
Today I Will Fly! ,Mo Willems,7,Squirrel Hill
"The League of Extraordinary Gentlemen Vol. 1, 1898",Alan Moore,1,Squirrel Hill
The Lost Gate,Orson Scott Card,1,Squirrel Hill
Covered Bridge Charm,"Christner, Dianne",1,West End
Black Lagoon ,Mike Thaler,1,Beechview
Knuffle Bunny,Mo Willems,1,Beechview
Death of yesterday,M.C.Beaton,1,Brookline
Sleepy Dog,"Ziefert, Harriet",1,East Liberty
I Broke My Trunk,Mo Willems,1,Main (Oakland)
My Little Pony,,1,East Liberty
Bunnies are for Kissing,,1,East Liberty
No Title Logged,,1,Woods Run
The maze runner,James Dashner,1,Hazelwood
Pete the Cat and His Magic Sunglasses,James Dean,1,Brookline
Max's Dragon Shirt,Rosemary Wells,1,Beechview
No Title Logged,,8,Main (Oakland)
Maus,Art Spiegelman,1,Main (Oakland)
tadpoles promise,,1,Sheraden
Captain America the winter soldier,,1,Downtown & Business
No Title Logged,,5,Mt. Washington
Attack on Titan: Volume 2 - Hajime Isayama,Hajime Isayama,1,Lawrenceville
The Best Mouse Cookie,Laura Numeroff & Felicia Bond,1,Squirrel Hill
No Title Logged,,10,Lawrenceville
"Miss Peregrine's Home for Peculiar Children Riggs, Ransom."," Riggs, Ransom",1,
I Hate Fairyland #1,Skottie Young,1,Squirrel Hill
Lumberjanes: Beware the Kitten Holy,Noelle Stevenson,1,Lawrenceville
green vs mean,,1,Downtown & Business
Yoko,Rosemary Wells,1,Squirrel Hill
"Quack, daisy, quack",,1,Beechview
Disney: Cinderella,Melissa Lagonegro,1,West End
The Stone of Fire,Geronimo Stilton,1,Squirrel Hill
"Meet You in Hell: Andrew Carnegie, Henry Clay Frick, and the Bitter Partnership That Changed America ",Les Standiford,1,Main (Oakland)
panda's world,,1,East Liberty
Pete the Cat and His Magic Sunglasses,James Dean,1,Beechview
Runaways,Brian K. Vaughn,2,Main (Oakland)
HULK - Return of the Monster,"Jones, Romita Jr., Azarello, Corben",1,East Liberty
Sonic the hedgehog book 3,,1,East Liberty
"Killing of the Tinkers, The","Bruen, Ken",1,East Liberty
The Frog Princess,E.D. Baker,1,Woods Run
In Other Words,Jhumpa Lahiri,1,West End
Now I Eat My ABC's,Pam Abrams,1,Main (Oakland)
No Title Logged,,1,Woods Run
I Know A Lot!,Stephen Krensky,1,Brookline
Mac,Bobby Lynn Maslen,1,Main (Oakland)
Orange Pear Apple Bear,Emily Gravett,1,Sheraden
Cross Kill ,James Patterson,1,South Side
Number One Sam,,1,Hazelwood
The Wide Window,Lemony Snicket,1,Main (Oakland)
Bad Kitty Goes to the Vet,Nick Bruel,1,Brookline
It's about time Jesse bear,,1,West End
Heretic queen,Michelle Moran,1,East Liberty
Koko Bear's New Potty,Vicki Lansky,1,Squirrel Hill
Duke,Kirby Larson,1,Squirrel Hill
Shiny Skates,Elizabeth Koda-Callan,1,Downtown & Business
Where pigeons don't fly,,1,Main (Oakland)
Kindred,Steve Robinson,1,
Red Truck,Kersten Hamilton,1,Mt. Washington
Doc McStuffins: Bubble Trouble,Sheila Sweeny Higginson,1,Hill District
I'm a Shark,Bob Shea,1,Brookline
Princess of the Potty,Nora Gaydos,1,Squirrel Hill
The Amazing Book is Not on Fire,Dan Howell,1,Brookline
learning not to drown,Anna Shinoda,1,Woods Run
No Title Logged,,1,Squirrel Hill
LaRose,Louise Erdrich,1,
Gregor the Overlander,Suzanne  Collins,1,Lawrenceville
The Butterfly Mosque,,1,Main (Oakland)
Cantarella Volume 9,You Higuri,1,Beechview
"I Love You, Stinky Face",Lisa McCourt,4,Downtown & Business
Meet the Knights,Julia March,1,Squirrel Hill
How To Eat,Thich Nhat Hanh,2,Allegheny
The Lost Key,,1,Squirrel Hill
Disclaimer,Renee Knight,1,Main (Oakland)
harry potter ,J.k Rowling,4,Hazelwood
Kinsey and me,Sue Grafton,1,Beechview
sugar hill,,1,Sheraden
we dine with cannnibals,,1,Hazelwood
No Title Logged,,1,Squirrel Hill
Disney Pixar Cars,,1,Carrick
Private L.A.,James Patterson,1,
Brain Camp ,Susan Kim,1,Main (Oakland)
Fool Me Once,Harlan Coben,1,Squirrel Hill
Love So Life Vol.2,,1,Carrick
Chester's Way,Kevin Henkes,1,Brookline
Touch and feel fa,,2,Main (Oakland)
The Sleepwalkers,Viviane Schwarz,1,Squirrel Hill
No Title Logged,,5,Squirrel Hill
Jake and the Neverland Pirates: Pirate Island Adventure,,5,East Liberty
The Bell Jar,Sylvia Plath,1,Allegheny
meet unikitty,,1,Downtown & Business
A Book of Babies,Il Sung Na,1,Squirrel Hill
grow it,,1,East Liberty
Touch and Explore The Ocean,Twirl,2,Downtown & Business
Eggsecutive Orders,Julie Hyzy,1,Squirrel Hill
Eat Move Sleep,Tom Rath,1,Allegheny
Peter in Blueberry Land,Elsa Beskow,1,Main (Oakland)
The Fellowship of the Ring : being the first part of The lord of the rings,J. R. R. Tolkien,1,Carrick
Faeries Promise: Wishes and Wings,,1,Main (Oakland)
little tedey,,1,Brookline
No Title Logged,,1,Main (Oakland)
No Title Logged,,10,Mt. Washington
No Title Logged,,1,Main (Oakland)
Alice in Wonderland,Lewis Carroll,1,Allegheny
spilling the beans,judy patterson,1,East Liberty
i spy treasure hunt,wick walter,1,Homewood
100 Things to do in Pittsburgh Before You Die,Beth Geisler,1,Allegheny
Sisters, Raina Telgemeier,3,Main (Oakland)
Junie B. Jones Smells Something Fishy,Barbara Park,1,Brookline
The Watermelon Seed,Greg Pizzoli,1,Squirrel Hill
Flat Stanley,Jeff Brown,1,Sheraden
A Potion to Die For,Heather Blake,1,Brookline
Coraline,P. Craig Russell,1,South Side
Mama Built a Little Nest,Jennifer Ward,1,East Liberty
Desperate Duchesses,Eloisa James,1,
Sick Simon,,1,Hazelwood
groundhog gets a ?,,1,East Liberty
midnight and the meaning,,1,Downtown & Business
Harry Potter and the Chamber of Secrets ,J.K. Rowling,1,Squirrel Hill
bambi,,1,Brookline
THE SMURFS,,1,Brookline
Purplicious,Victoria Kann,1,Allegheny
in the spirit of christmas,linda goodnight,1,Sheraden
Toy Trouble,Keil Murray,1,Downtown & Business
Quiet night,Singer,2,Woods Run
BFF 1,,1,Woods Run
No Such Thing,Jackie French Koller,1,Squirrel Hill
peanut butter and homework sandwiches,lisa broadie cook,1,Squirrel Hill
horns,,1,Downtown & Business
Truth & Dare,Ed. By Liz Miles,1,Lawrenceville
Goosebumps: the haunted car,,1,East Liberty
The Longest Ride,Nicholas Sparks,1,Woods Run
City of Ashes,Cassandra  Clare,1,Main (Oakland)
Extreme Baby Mouse,,1,East Liberty
Max's Toys,Rosemary Wells,1,Sheraden
A Tree Grows in Brooklyn,Betty Smith,1,Mt. Washington
Little Red Riding Hood,Trina Schart Hyman,1,Squirrel Hill
My American Duchess,Elisa James,1,Squirrel Hill
Three Bears in a Boat,David Soman,3,Allegheny
Guardians of the galaxy: Battle of Knowhere,Adam Davis,1,Allegheny
No Title Logged,,1,Main (Oakland)
The Way I Love You,David Bedford,1,East Liberty
Animal Farm,George Orwell,1,Main (Oakland)
"Get Ready for Second Grade, Amber Brown",Paula  Danziger ,1,Carrick
The Lightkeepers ,Abby Geni,1,South Side
Dog's 1 2 3,Enma dodd ,2,West End
The Bippolo Seed,,1,Squirrel Hill
Ernest the moose who doesn't fly,Rayner,1,Beechview
Minecraft stories for kids,,1,Lawrenceville
No Title Logged,,1,Main (Oakland)
Fox in Socks,Dr. Seuss,1,Allegheny
No Title Logged,,15,Woods Run
Stink the Shrinking kid,,1,Carrick
Hounded,David Rosenfelt,1,Downtown & Business
Choo Choo Clickety Clack!,Margaret Mayo,1,Squirrel Hill
Me Before You,Jojo Moyles,1,Allegheny
Dashing through the snow,Debbie macomber,1,Allegheny
Passion Play,Regina Hart,1,Main (Oakland)
No Title Logged,,6,Woods Run
Before Watchmen,,1,East Liberty
Ratty & Mole,,1,South Side
Anansi and the Magic Stick,Eric Kimmel,1,East Liberty
Amazing Military Robots,Sean Price,1,Downtown & Business
Furiously Happy,"Lawson, Jennifer",1,Main (Oakland)
Binge,,1,Allegheny
The Gift of Nothing,Patrick McDonnell,1,Squirrel Hill
No Title Logged,,1,East Liberty
Harry Potter and the Sorcerer's Stone,J. K Rowling,1,Carrick
The Elite,Kiera Cass,1,Brookline
No Title Logged,,13,Squirrel Hill
 Eligible: A Modern Retelling of Pride and Prejudice 	Eligible: A Modern Retelling of Pride and Prejudice,"Sittenfeld, Curtis",1,Main (Oakland)
Pete the Cat and His Four Groovy Buttons,James Dean,1,East Liberty
No Title Logged,,1,East Liberty
Number One Sam,,1,Hazelwood
I Stink!,Kate McMullan,1,Downtown & Business
Dragons Beware!,Rafael Rosado,1,Hazelwood
Fish in a Tree,Lynda Mullaly Hunt,1,Main (Oakland)
brotherhood in death,J.D. Robb,1,Hill District
Night Shift,Charlaine Harris,1,Main (Oakland)
No Title Logged,,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
Pinkalicious,Victoria Karr,1,Carrick
Babysitter Club #3,Ann Martin,1,Brookline
Dora the explorer: Dora the brightest star,Kitty Fross,4,Main (Oakland)
No Title Logged,,13,Squirrel Hill
 Whose tails Are These?,,1,Main (Oakland)
No Title Logged,,3,Squirrel Hill
Andrew McCutchen,Matt Scheff,1,Hill District
Skyscraper,Lynn Curlee,2,East Liberty
Oh the Things You Can Think,Dr. Seuss,1,Squirrel Hill
Pete the Cat: Scuba Cat,James Dean,1,Main (Oakland)
La-Ja-Biri-biri,,1,East Liberty
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936,Daniel James Brown,1,Main (Oakland)
Hissy Fit,Mary Kay Andrews,1,Squirrel Hill
No Title Logged,,20,Homewood
Barbie: I can  be a gymnast,Kristen L. Depken,1,Squirrel Hill
The Only Pirate to the Party,Lindsey Stirling,1,Beechview
Mickey Mouse's Riddle Book,,1,Beechview
OCDaniel,Wesley King,1,Squirrel Hill
The Korean Cinderella,Shirley Climo,1,Beechview
Viva Frida,Yuyi Morales,1,Hill District
Best Friends for Frances,Russel Hoban,3,Squirrel Hill
"Get a Hit, Mo!",David A. Adler ,1,Brookline
No Title Logged,,1,Allegheny
The Chickens Build a Wall,Jean-Francois Dumont,1,Allegheny
Lea Dives In,Lisa Yee,1,Main (Oakland)
MJ: The Genius of Michael Jackson,Steve Knopper,1,Main (Oakland)
But Not the Hippopotamus,Sandra Boynton,1,Squirrel Hill
Rightful Heritage: Franklin D. Roosevelt and the Land of America ,Douglas G. Brinkley,1,Main (Oakland)
Doug Unplugged,Dan Yaccarino,1,Hill District
Red Sled,Patricia Thomas,1,Allegheny
old  yeller,,1,Main (Oakland)
Why We Suck,DR. Denis Leary,1,Woods Run
First Comes Love,Emily Giffin,1,Carrick
Lady Killer,Ed McBain,1,Main (Oakland)
Me Too Iguana,,1,
toes ears and nose,,1,East Liberty
Journey to Munich,Jacqueline Winspear,1,Squirrel Hill
No Title Logged,,20,Homewood
Boats Go,Steve Light,1,Carrick
No Title Logged,,1,Lawrenceville
Moosetache,Margie Palatini,1,Main (Oakland)
The Pumpkin Patch,,1,Carrick
Pat-a-Cake,Melissa Everett,1,Brookline
Freefall,Tess Oliver,1,Lawrenceville
Whats special at Night,Daniel Tiger,1,West End
Hop on Pop,Dr. Seuss,1,Hazelwood
"Claudia and Mean Janine (The Baby-Sitters Club, Book 4)",Raina Telgemeier,1,Main (Oakland)
Dog Days,David Lubar,1,Main (Oakland)
Modern Romance	,Aziz Ansari,1,Woods Run
Simply Sublime Bags,Jodi Kahn,1,Squirrel Hill
The Berenstain Bears and the Messy Room,Stan and Jan Berenstain,1,Main (Oakland)
A Slight Change of Plan,Dee Ernst,1,Beechview
A Few of the Girls,Maeve Binchy,1,West End
"They May Not Mean To, But They Do",Cathleen Schine,1,Downtown & Business
go go grapes,,1,East Liberty
Mouse Count,Ellen Stoll Walsh,1,Knoxville
Dr.Nicolas is Rediculas,Dan Gutman,1,Lawrenceville
1 2 3 Chicago,Puck,1,Main (Oakland)
Shy Little Kitty,,1,Brookline
Olympus at War,Kate O'Hearn,1,East Liberty
The Shack,,2,Main (Oakland)
Sports,Tim Hammond,1,Beechview
pete the cat the wheels on the bus,-,1,Brookline
Machines at Work,Byron Barton,1,West End
White Fur Flying,Patricia MacLachlan,1,Main (Oakland)
"Into the A, B, Sea",,1,Brookline
Awkward,Svetlana Chmakova,1,East Liberty
nighty-night sesame street,,1,Downtown & Business
Food wars 5,Yuto Tsukuda,1,Main (Oakland)
No Title Logged,,2,Main (Oakland)
Alice in the Country of Joker The Nightmare Trilogy volume 1,Quinrose,1,Beechview
Magic,Danielle Steel,1,Squirrel Hill
rhyme time,,1,East Liberty
The American Slave Coast: A History of the Slave-Breeding Industry,Ned and Constance Sublett,1,Lawrenceville
The Very Hungry Caterpillar,Eric Carle,1,Squirrel Hill
Ballad: A Gathering of Faerie,Maggie Stiefvater,1,Downtown & Business
No Title Logged,,1,Mt. Washington
pinkalicious,,1,East Liberty
The Snows of Kilimanjaro and Other Stories,Ernest Hemingway,1,Beechview
Eric Carle's ABCs,,1,East Liberty
The Things We Keep,,1,Main (Oakland)
What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,1,Squirrel Hill
No Title Logged,,10,Beechview
No Title Logged,,1,Main (Oakland)
No Title Logged,,8,Squirrel Hill
Me Before You,Jojo Moyles,1,Squirrel Hill
The Magic School Bus- In the Time of Dinosaurs,Joanna Cole,2,Main (Oakland)
No Title Logged,,1,Main (Oakland)
Fetish,Shameek Speight,1,Knoxville
No Title Logged,,1,Main (Oakland)
"Oh, the Thinks You Can Think!",Dr. Seuss,1,Squirrel Hill
Guinness World Records 2016,Guinness Book,1,Main (Oakland)
A Killer Ball at the Honeychurch Hall,Hannah Dennison,1,Carrick
Doug Unplugged,Dan Yaccarino,1,Hill District
Batman's Dark Secret,Kelley Puckett,1,Main (Oakland)
Almost Anywhere,Krista Schyler,1,South Side
No Title Logged,,3,Squirrel Hill
He Bear She Bear,Stan and Jan Berenstain,1,South Side
No Title Logged,,3,Main (Oakland)
Dork Diaries #8,,1,Carrick
Flat stanley and the Very Big Cookie,Jeff Brown,1,Allegheny
since she went away,david bell,1,Downtown & Business
Five Little Monkeys Jumping on the Bed,Eileen Christelow,1,Allegheny
my baby brother is a monster,,1,Main (Oakland)
As a man thinketh,James Allen ,1,Downtown & Business
Blaze of Glory,Clark Stubbs,1,Squirrel Hill
Bart Simpson to the Rescue,,1,East Liberty
Mercy Watson Thinks Like A Pig,Kate DiCamillo,1,Main (Oakland)
There Is a Bird on Your Head!,Mo Willems,3,Squirrel Hill
There Is a Bird on Your Head!,Mo Willems,1,Allegheny
Pokemon gotta catch em all,,1,Knoxville
Good Dog Carl,Alexandra Day,1,West End
Let it Snow,John Green,1,Mt. Washington
Mockingjay,Suzanne  Collins,1,Brookline
Science Experiments with Light,Alex Kuskowski,1,Squirrel Hill
Silent Night,robert b parker with helen braun,1,Beechview
15th Affair,James Patterson,1,Squirrel Hill
No Title Logged,,3,Squirrel Hill
bobie spy squad,,1,Hazelwood
Julie B. First Grader Aloha-ha-ha,Barbara Park,1,East Liberty
Goodnight Moon,Margaret Wise Brown,5,Brookline
The Misadventures of Salem Hyde: Spelling Trouble,Frank Cammuso,1,Squirrel Hill
Don't Let the Pigeon Drive the Bus!,Mo Willems,1,East Liberty
Stars Wars The Clone Wars,Grosser & Dunlap,1,East Liberty
No Title Logged,,1,Beechview
"Sofia The First, The Royal Slumber Party",,1,Main (Oakland)
pennsylvania,,1,Main (Oakland)
melvin might,,1,Carrick
Bee witched,Julia Dweck,1,Squirrel Hill
The Girl in Between,Laekan Zea Kemp,1,Carrick
Barbie Cupcake Challenge,Mary Tillworth,1,Brookline
Finding Winnie: The True Story of the World's Most Famous Bear,Lindsay  Mattick,1,Downtown & Business
Alice In Wonderland,Bobowicz,1,Squirrel Hill
"Red Light, Green Light",Yumi Heo,5,Lawrenceville
No Title Logged,,1,Homewood
Little Red Riding Hood,Brothers Grimm,1,Knoxville
Amelia Bedelia's First Day of School,,1,Carrick
The Divide,,1,Brookline
No Title Logged,,1,Main (Oakland)
Harry Potter and the Sorcerer's Stone,J. K. Rowling,1,Carrick
How Do Dinosaurs Say Goodnight,Jane Yolen,1,
City of Heavenly Fire,Cassandra Clare,1,Lawrenceville
In Order To Live,"Park, Yeonmi",1,Main (Oakland)
"Brown Bear, Brown Bear, what do you see?",Bill Martin,1,Brookline
No Title Logged,,15,Squirrel Hill
Daisy McDare and the Deadly Directorial Affair,K.M. Morgan,1,Beechview
A Bear Called Paddington,Michael Bond,1,Squirrel Hill
No Title Logged,,1,Main (Oakland)
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Skip Hollandsworth,1,
No Title Logged,,4,Squirrel Hill
That is Not a Good Idea,Mo Willems,1,Main (Oakland)
Demon Love Spell V 6,Mayu Shinjo,1,Main (Oakland)
Finding Jake,,1,Main (Oakland)
Roly poly Pangolin,,1,East Liberty
Space song rocket ride,,1,Allegheny
Abiyoyo,Pete Seeger,1,Beechview
Supergirl Volume2,,1,Woods Run
Barthello's Wing-A tale of a Very Brave Bug,Janie DeVos,1,Squirrel Hill
The Woods Vol. 1,James Tynion IV,1,Beechview
God Help the Child,Toni Morrison,1,
Good Night Pittsburgh,,1,Allegheny
To all the boys I've  loved before,Jenny Han,1,Carrick
Smoke Jumpers One to Ten,Chris L. Demarest,1,Squirrel Hill
"I'd know you anywhere, my love",Tillman,1,Main (Oakland)
Number One Sam,Greg Pizzoli,15,Hazelwood
25 crafts for,,1,Main (Oakland)
No Title Logged,,3,Squirrel Hill
No Title Logged,,1,Squirrel Hill
Breastfeeding Made Simple ,,1,Main (Oakland)
The fragile world ,Paula treick DeBoard,1,Hazelwood
Boy,Roald Dahl,1,Beechview
Who's Hiding? ,,2,West End
Witchcraft in Early North America,Alison Games,1,Main (Oakland)
Ore Monogatari!!,Kazune Kawahara,1,East Liberty
No Title Logged,,1,Woods Run
Lego Star Wars: Return of the Jedi,,1,Woods Run
The Everything Book,Denise Fleming,1,Squirrel Hill
Flight Patterns,Karen White,1,Downtown & Business
No Title Logged,,1,Knoxville
D.W.’s guide to Preschool,Marc Brown,1,Squirrel Hill
Kingmakers Daughter,Philippa Gregory,1,South Side
Magic Treehouse - Mummies in the morning,Mary Pope Osborne,1,East Liberty
Colors,Bright baby,1,Brookline
Maisy Goes to Hospital,,1,Main (Oakland)
The  fast  and  the  frozen,Geronimo Stilton,1,Squirrel Hill
Where is Baby's Belly Button?,Karen Katz,1,East Liberty
No Title Logged,,12,Allegheny
Mr. Tall,Roger Hargreaves,1,Squirrel Hill
On my leaf my turn to learn,,1,Knoxville
Put Me In The Zoo,,1,East Liberty
No Title Logged,,1,Main (Oakland)
No Title Logged,,3,Woods Run
Play,,1,East Liberty
We Can't All Be Rattlesnakes,Patrick Jennings,1,South Side
Come Home ,,1,Downtown & Business
Dork diaries how to dork your diary,Rachel Russell,1,Mt. Washington
Cibola Burn,James S.A. Corey,1,Brookline
Judy Moody,MacDonald,1,Carrick
Barbie Rock 'n Royals Sing it Out,Devin An  Wooster,1,Brookline
If I were a Dog,,1,Main (Oakland)
Little Red Riding Hood,,1,East Liberty
In Front of My House,,1,Mt. Washington
Spider-Verse,Marvel,1,Knoxville
No Title Logged,,8,Woods Run
Pat the bunny ,,1,Squirrel Hill
"Up, Down, and Around",Katherine Ayres,1,Squirrel Hill
No Title Logged,,15,Squirrel Hill
mindnight,sista soulja,1,Downtown & Business
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Squirrel Hill
Cats: the Short Sound of A,Alice K. Flanagan,1,Sheraden
If You Give a Moose a Muffin,Laura Joffe Numeroff,1,East Liberty
Growing Colors,Bruce McMillan,1,East Liberty
captain america the winter soldier,,1,Main (Oakland)
Saving Animal Babies,,1,Downtown & Business
Nancy Drew The Secret of the Old Clock,Carolyn Keene,1,Squirrel Hill
The Witch Hunter ,Virginia Boecker,1,Carrick
I Will Take a Nap!,Mo Willems,1,Hill District
No Title Logged,,7,Mt. Washington
Ten on the Sled,Kim Norman,1,Squirrel Hill
Doc McStuffins: Run-Down Racecar,Sheila Sweeny Higginson,1,Squirrel Hill
No Title Logged,,3,Squirrel Hill
Ten Men,Bobby Lynn Maslen,1,Main (Oakland)
If I Could Keep You Little,Marianne  Richmond,1,West End
Oh.My.Gods.,Tera Lynn Childs,1,Main (Oakland)
About Insects,Cathryn Sill,4,Squirrel Hill
Peter's Chair,Ezra Jack Keats,2,Main (Oakland)
Han and Chewie Return!!!!!!!!!!!!!!!!!,Michael Siglain,2,Allegheny
THE NEAT PIG,,1,Knoxville
Loves Replay,Synithia Williams,1,Main (Oakland)
Caillou at the theater,Chouette,1,Brookline
Twilight,Stephenie Meyer,1,Hazelwood
Planes Go,Steve Light,1,East Liberty
thea stilton and the secret  of the old castle,geronimo stilton,1,Woods Run
The Dog,,1,Carrick
"Welcome, Spring!",Andrea Posner-Sanchez,1,South Side
The Isle of the Lost,Melissa de la Cruz,1,Woods Run
White Teeth,Zadie Smith,1,Main (Oakland)
japan,,1,East Liberty
No Title Logged,,1,Main (Oakland)
Ninjango,,1,Sheraden
Food Wars volume 4,Yuto Tsukuda,1,Main (Oakland)
Some Women,Emily Liebert,1,Lawrenceville
No Title Logged,,10,Hazelwood
My first songs,,1,Main (Oakland)
snow,,1,Sheraden
No Title Logged,,2,Squirrel Hill
Bleed for Me,Michael Robotham,1,West End
Battle on Teth,,1,Main (Oakland)
If You Give a Mouse a Cookie,Laura Numeroff,1,Main (Oakland)
That's Not My Dragon,,1,Main (Oakland)
Goosebumps Hall of Horrors Night of the Giant Everything ,R.L. Stine,1,Main (Oakland)
Puff the Magic Dragon,,1,Main (Oakland)
No Title Logged,,2,West End
Eldeafo,Cece Bell,1,Squirrel Hill
The Widow,Fiona Barton,1,Brookline
"Hand, Hand, Fingers, Thumb",Al Perkins,1,Squirrel Hill
The Magician's Lie,Greer Macallister,1,Carrick
No Title Logged,,1,East Liberty
 The Immortal Life of Henrietta Lacks ,Rebecca Skloot,1,Knoxville
Rich and Pretty,Rumaan Alam,1,
Unforgettable,Scott Simon,1,Carrick
at any cost,,1,Carrick
Eating the Alphabet: Fruits and Vegetables from A to Z,Lois Ehlert,5,Squirrel Hill
The Meaning of Flowers,Gretchen Scoble and Ann Field,1,Beechview
The Book of Human Insects,Osamu Tenzuka,1,Main (Oakland)
leo can swim,,1,Homewood
No Title Logged,,9,Brookline
Peekaboo Bedtime,Rachel Isadora,2,Carrick
Lonely ,Emily White,1,Main (Oakland)
a big ball of string,"holland, marianne",1,Main (Oakland)
The Adventers of Super Diaper Baby,Gorge Beard And Harold Hutchens,1,Lawrenceville
Warlock holmes,,1,Main (Oakland)
Henry and Mudge in the Family Trees,Cynthia Rylant,1,Squirrel Hill
Skippyjon Jones Mummy Trouble,Judy Schachner,1,Main (Oakland)
My New Friend Is So Fun!,Mo Willems,6,Squirrel Hill
Dolphins and Sharks (Magic Treehouse Research Guide),Mary Pope Osborne,1,Main (Oakland)
Kite Day: A Bear and Mole Story ,will hillenbrand,3,Squirrel Hill
Cujo,Stephen King,1,Hill District
Wild ,Cheryl strayed ,1,Beechview
The Gunning of America,Pamela Haag,1,Squirrel Hill
No Title Logged,,20,Homewood
Avengers vs Xmen: consequences,Kieran Gillen,1,Beechview
Mother Bruce,Ryan T. Higgins,1,Homewood
No Title Logged,,1,Squirrel Hill
No Title Logged,,2,Woods Run
Batman Birthday Surprise,,1,West End
The Autobiography of My Mother,Jamaica Kincaid,1,Main (Oakland)
The Wonderful Wizard of Oz,L. Frank Baum,1,Woods Run
all-new ultimates 1,,1,South Side
The Thank You Book,Mo Willems,1,East Liberty
When the World Was Ready for Bed,,1,Squirrel Hill
Sara's Secret Hiding Place,"March, C. Louise",1,Hazelwood
No Title Logged,,8,Squirrel Hill
Peppa pig and the vegetable garden,,1,Squirrel Hill
We're Going on a Lion Hunt,David Axtell,1,Brookline
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1,Main (Oakland)
LaRose,Louise Erdrich,1,East Liberty
Noisy Trucks,Tiger Tales,1,Lawrenceville
summer of the sea serpent,mary pope osborne,1,South Side
Each Peach Pear Plum,Janet Ahlberg,1,Squirrel Hill
There's a Wocket in My Pocket,Dr. Seuss,1,South Side
